Country,Rank,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Plot,Poster,imdbID,Production,imdbScore,Trailer,Trailer_img
us,1,Avengers: Endgame,2019,PG-13,26 Apr 2019,181 min,"Action, Adventure, Fantasy, Sci-Fi","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg,tt4154796,Marvel Studios,8.8,https://www.youtube.com/embed/TcMBFSGVi1c,"https://m.media-amazon.com/images/M/MV5BOThlNjdhZmQtNzlkOS00M2VjLWI0ZjUtZDExZDI1MjRhZGFkXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,2,Pokémon Detective Pikachu,2019,PG,09 May 2019,104 min,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg,tt5884052,Warner Bros. Pictures,7.1,https://www.youtube.com/embed/bILE5BEyhdo,"https://m.media-amazon.com/images/M/MV5BZTRkNjhmNDQtNTcyZC00YzMwLThkMGMtYmI3MTQ4MTQzNGJiXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,3,The Hustle,2019,PG-13,10 May 2019,94 min,Comedy,Chris Addison,"Anne Hathaway, Rebel Wilson, Tim Blake Nelson, Alex Sharp","Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the dirty rotten men who have wronged them.",https://m.media-amazon.com/images/M/MV5BMTc3MDcyNzE5N15BMl5BanBnXkFtZTgwNzE2MDE0NzM@._V1_SX300.jpg,tt1298644,MGM,5.0,https://www.youtube.com/embed/_j5hwooOHVE,"https://m.media-amazon.com/images/M/MV5BYzQ0ZmQ4MmEtZjdmNS00ODg0LTlkMjktNDBlNmZlMjc0YmMxXkEyXkFqcGdeQXRzdGFzaWVr._V1_CR0,12,907,510_AL_UX477_CR0,0,477,268_AL_.jpg"
us,4,The Intruder,2019,PG-13,03 May 2019,102 min,"Drama, Horror, Mystery, Thriller",Deon Taylor,"Meagan Good, Dennis Quaid, Michael Ealy, Joseph Sikora",A young married couple buy a beautiful house on several acres of land only to find out that the man they bought it from refuses to let go of the property.,https://m.media-amazon.com/images/M/MV5BMzg1ZjcxNjgtMTliNC00NzU3LWE3NGMtZTBjMWFmYzk4OWE0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,tt6722030,Screen Gems,5.4,https://www.youtube.com/embed/aKXvex7b1Ew,"https://m.media-amazon.com/images/M/MV5BMDE3ZWYxMDctMWU0YS00ZjZiLTk5OWYtZDU2NmY4NmZmYzY3XkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,5,Long Shot,2019,R,03 May 2019,125 min,"Comedy, Romance",Jonathan Levine,"Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr.","When Fred Flarsky reunites with his first crush, one of the most influential women in the world, Charlotte Field, he charms her. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",https://m.media-amazon.com/images/M/MV5BMmE4Mzk0OWQtMDI1OS00NDU3LWI2M2YtNzc1MGMxZGI3ZTE1XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,tt2139881,Summit Entertainment,7.2,https://www.youtube.com/embed/S5jiaHvx-kY,"https://m.media-amazon.com/images/M/MV5BMjNhMmYzMTYtNTRlMi00MDU4LWE5YjYtNDlhODM0YWI0YWZlXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,6,Poms,2019,PG-13,10 May 2019,91 min,Comedy,Zara Hayes,"Diane Keaton, Pam Grier, Charlie Tahan, Rhea Perlman","45 minutes outside of Phoenix lies a retirement community. A place where palm trees line the streets, the skies are always clear and the ""taxi"" (ambulance) drives by two or three times a day - a final destination for retirees. This is the story of America's first cheer-leading squad for women aged 60.",https://m.media-amazon.com/images/M/MV5BMjUxMDQ3MjcxOV5BMl5BanBnXkFtZTgwNTMxMTg0NzM@._V1_SX300.jpg,tt5125894,STXfilms,5.1,https://www.youtube.com/embed/-9PypHxfY_M,"https://m.media-amazon.com/images/M/MV5BYjc0NTdkOGMtOWZiZS00ZjkyLWFkYTItYzBiMDY1ZGNkYWY0XkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,7,UglyDolls,2019,PG,02 May 2019,87 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical",Kelly Asbury,"Kelly Clarkson, Nick Jonas, Janelle Monáe, Blake Shelton","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",https://m.media-amazon.com/images/M/MV5BMTc0NjE2ODM2OV5BMl5BanBnXkFtZTgwMjQyNDUzNzM@._V1_SX300.jpg,tt1946502,STXfilms,4.5,https://www.youtube.com/embed/qqlEGYo0xCA,"https://m.media-amazon.com/images/M/MV5BNTllODQxNTctZDIwOC00MGM1LWJkNWUtYzFhZWIwNGQ4OWVkXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,8,Breakthrough,2019,PG,17 Apr 2019,116 min,"Biography, Drama",Roxann Dawson,"Topher Grace, Chrissy Metz, Marcel Ruiz, Josh Lucas","When her 14-year-old son drowns in a lake, a faithful mother prays for him to come back from the brink of death and be healed.",https://m.media-amazon.com/images/M/MV5BMTU2ODk2ODEzMV5BMl5BanBnXkFtZTgwMzk1OTk4NjM@._V1_SX300.jpg,tt7083526,20th Century Fox,5.8,https://www.youtube.com/embed/6Ui6m_eEEOI,"https://m.media-amazon.com/images/M/MV5BZWEyYWY0ZGUtNmRmYy00ZDZhLTk2NmQtZjMxNTU5NGZjMDlmXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,9,Tolkien,2019,PG-13,10 May 2019,112 min,"Biography, Drama",Dome Karukoski,"Lily Collins, Nicholas Hoult, Patrick Gibson, Pam Ferris","Tolkien explores the formative years of the orphaned author as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.",https://m.media-amazon.com/images/M/MV5BMjUzNzA1MDczOF5BMl5BanBnXkFtZTgwODY5OTI2NzM@._V1_SX300.jpg,tt3361792,Fox Searchlight Pictures,7.0,https://www.youtube.com/embed/Girzu81oS8Q,"https://m.media-amazon.com/images/M/MV5BOGE0ZjczNzYtYjVkMi00YjFiLWI4MmYtZTMxZGU5NmVmOGUyXkEyXkFqcGdeQXZ3ZXNsZXk@._V1_UX477_CR0,0,477,268_AL_.jpg"
us,10,The Curse of La Llorona,2019,R,19 Apr 2019,93 min,"Horror, Mystery, Thriller",Michael Chaves,"Linda Cardellini, Roman Christou, Jaynee-Lynne Kinchen, Raymond Cruz","Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.",https://m.media-amazon.com/images/M/MV5BMTkxODk1MTM3Nl5BMl5BanBnXkFtZTgwNDUxNzg0NzM@._V1_SX300.jpg,tt4913966,New Line Cinema,5.7,https://www.youtube.com/embed/uOV-xMYQ7sk,"https://m.media-amazon.com/images/M/MV5BZjYwZTJiYTktM2E0NC00ZjJjLWFmYmYtYjZmM2ZlOTdjNzI3XkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,1,Avengers: Endgame,2019,PG-13,26 Apr 2019,181 min,"Action, Adventure, Fantasy, Sci-Fi","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg,tt4154796,Marvel Studios,8.8,https://www.youtube.com/embed/TcMBFSGVi1c,"https://m.media-amazon.com/images/M/MV5BOThlNjdhZmQtNzlkOS00M2VjLWI0ZjUtZDExZDI1MjRhZGFkXkEyXkFqcGdeQW1yb3NzZXI@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,2,Pokémon Detective Pikachu,2019,PG,09 May 2019,104 min,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_SX300.jpg,tt5884052,Warner Bros. Pictures,7.0,https://www.youtube.com/embed/bILE5BEyhdo,"https://m.media-amazon.com/images/M/MV5BZTRkNjhmNDQtNTcyZC00YzMwLThkMGMtYmI3MTQ4MTQzNGJiXkEyXkFqcGdeQXRyYW5zY29kZS13b3JrZmxvdw@@._V1_UX477_CR0,0,477,268_AL_.jpg"
au,3,The Hustle,2019,PG-13,10 May 2019,94 min,Comedy,Chris Addison,"Anne Hathaway, Rebel Wilson, Tim Blake Nelson, Alex Sharp","Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the dirty rotten men who have wronged them.",https://m.media-amazon.com/images/M/MV5BMTc3MDcyNzE5N15BMl5BanBnXkFtZTgwNzE2MDE0NzM@._V1_SX300.jpg,tt1298644,MGM,5.1,https://www.youtube.com/embed/_j5hwooOHVE,"https://m.media-amazon.com/images/M/MV5BYzQ0ZmQ4MmEtZjdmNS00ODg0LTlkMjktNDBlNmZlMjc0YmMxXkEyXkFqcGdeQXRzdGFzaWVr._V1_CR0,12,907,510_AL_UX477_CR0,0,477,268_AL_.jpg"
au,4,Top End Wedding,2019,PG-13,30 Jan 2019,113 min,Comedy,Wayne Blair,"Gwilym Lee, Kerry Fox, Miranda Tapsell, Huw Higginson","Lauren and Ned are engaged, they are in love, and they have just ten days to find Lauren's mother who has gone AWOL somewhere in the remote far north of Australia, reunite her parents and pull off their dream wedding.",https://m.media-amazon.com/images/M/MV5BMjU0NDk0N2EtNTliZS00MjNmLTk0M2MtYTMzOTUxMGQwZWI3XkEyXkFqcGdeQXVyMzE0MTQ2NzQ@._V1_SX300.jpg,tt7555072,Films Boutique,7.2,https://www.youtube.com/embed/uoDBvGF9pPU,"https://m.media-amazon.com/images/M/MV5BMjU0NDk0N2EtNTliZS00MjNmLTk0M2MtYTMzOTUxMGQwZWI3XkEyXkFqcGdeQXVyMzE0MTQ2NzQ@._V1_SY999_CR0,0,738,999_AL_.jpg"
